;AI Functionality;AIaaS Baseline Service;;Required Resources / Infrastructure;;AIaaS Baseline Service Composition;AIaaS Baseline Service Configuration;;AIaaS Powered Solution;;Value Proposition to Customer;Selling Technique;AI Disclosure;;Sources;
Brainly;"Classification, Clustering; NLP";SaaS;UI;General IT Knowledge;"Internal Data; Customer Data";No Additional Services;Self-Configuring (AutoML);On-Demand/Batch;"Automation; Optimization";"API; UI";"Efficiency; Convenience";None;AI in the background;;https://cloud.google.com/customers/brainly;
GE Appliances;"Classification, Clustering; Computer Vision";SaaS;UI;AI User-Level Knowledge;"Internal Data; Customer Data";"Data Labeling; Data Pre-Processing; API Management";Self-Configuring (AutoML);On-Demand/Batch;"Optimization; Customer Support; Analytics";UI;"Personalization; Quality";None;AI in the background;;https://cloud.google.com/transform/ge-appliances-recipe-for-generative-ai-faster-innovation-manufacturing?hl=en;
Hitachi Rail-Rio Tinto’s AutoH;Classification, Clustering;IaaS;API;IT Users;"Customer Data; Public Data";Data Pre-Processing;Self-Configuring (AutoML);Continious/Online/Stream;"Automation; Optimization; Analytics";API;"Quality; Efficiency";None;AI in the background;;https://www.hitachirail.com/case-studies/2023/australia-what-s-ahead-for-studies-into-ai-and-collision-avoidance/;
Symphony AI - Maruti Suzuki;"Classification, Clustering; Computer Vision";IaaS;UI;IT Users;Internal Data;Data Pre-Processing;Self-Configuring (AutoML);On-Demand/Batch;Analytics;UI;"Cost Reduction; Efficiency";None;Communication of AI Integration (Marketing);;https://www.symphonyai.com/wp-content/uploads/SAI_Case-Study_Maruti-Suzuki_2024_Final.pdf;
EcoStruxture - SOMIC;Classification, Clustering;SaaS;API;Specialized AI/DS Knowledge;Customer Data;"Data Labeling; Data Pre-Processing";Fully Configurable;On-Demand/Batch;"Optimization; Analytics";API;"Cost Reduction; Efficiency";Up Selling;Communication of AI Integration (Marketing);;https://www.se.com/de/de/work/campaign/life-is-on/case-study/somic/;
IBM watsonX - Humana;Other;SaaS;UI;IT Users;"Customer Data; Other External Data";Data Pre-Processing;Fully Configurable;On-Demand/Batch;"Optimization; Customer Support";UI;"Personalization; Quality; Cost Reduction";None;AI in the background;;https://www.ibm.com/case-studies/humana;
Google Cloud - MLB;Computer Vision;SaaS;UI;IT Users;"Customer Data; Other External Data";Data Labeling;Fully Configurable;Continious/Online/Stream;"Customer Support; Analytics";UI;"Personalization; Efficiency; Insight";None;Communication of AI Integration (Marketing);;https://cloud.google.com/customers/major-league-baseball?hl=de;
AWS - 3M (HIS);"Classification, Clustering; Computer Vision";IaaS;UI;IT Users;"Internal Data; Customer Data";Data Pre-Processing;Fully Configurable;On-Demand/Batch;"Optimization; Analytics";API;"Quality; Cost Reduction; Efficiency";None;AI in the background;;https://news.3m.com/;
Rexroth - Lollar Guss;Classification, Clustering;IaaS;API;AI User-Level Knowledge;Customer Data;Data Pre-Processing;Fully Configurable;On-Demand/Batch;"Automation; Optimization; Analytics";API;"Cost Reduction; Efficiency; Insight";Up Selling;Communication of AI Integration (Marketing);;https://2022461.fs1.hubspotusercontent-na1.net/hubfs/2022461/DC-IH_MKT/Software-and-Tools/CytroConnectSolutions/Success_Story_Lollar-Guss_DE.pdf;
Relayr;Regression;IaaS;API;Specialized AI/DS Knowledge;Customer Data;API Management;Fully Configurable;Periodic/Batch;Maintainance;UI;"Quality; Insight; Efficiency";None;AI in the background;;https://www.microsoft.com/de-de/customers/story/1540679886952231963-relayr-azure-iot-en;
BMW;Classification;IaaS;UI;Specialized AI/DS Knowledge;"Internal Data; Customer Data";Data Pre-Processing;Fully Configurable;Continious/Online/Stream;"Automation; Customer Support; Analytics";UI;"PersonaliZation;Cost Reduction; Efficiency";Up Selling;AI in the background;;https://aws.amazon.com/de/solutions/case-studies/bmw-data-protection/;
AI21 Labels;LLM;AutoML;UI;General IT Knowledge;Internal Data;Data Pre-Processing;Self-Configuring (AutoML);None;"Automation; Analytics";UI;"Personalization; Cost Reduction; Efficiency";Up-Selling;Communication of AI Integration (Marketing);;https://aws.amazon.com/de/solutions/case-studies/absa-case-study/?did=cr_card&trk=cr_card;
Absa;"Classification; Regression";AutoML;UI;General IT Knowledge;"Internal Data; Customer Data";Data Pre-Processing;Self-Configuring (AutoML);On-Demand/Batch;"Automation; Analytics";UI;"Cost Reduction; Insight";Cross Selling ;AI hidden;;https://aws.amazon.com/de/solutions/case-studies/activision-call-of-duty/?did=cr_card&trk=cr_card;
Activision;"Classification; Regression";IaaS;UI;Specialized AI/DS Knowledge;Internal Data;Data Pre-Processing;Fine-Tuning;On-Demand/Batch;"Automation; Optimizatiion";UI;"Quality; Efficiency; Insight";None;Communication of AI Integration (Marketing);;https://miro.com/app/board/uXjVKyv5DUI=/?moveToWidget=3458764607666709169&cot=14;
FlowX;"Classification; Regression";IaaS;UI;Specialized AI/DS Knowledge;Internal Data;Data Pre-Processing;Fine-Tuning;On-Demand/Batch;"Automation; Optimization";UI;"Quality; Efficiency; Insight";None;Communication of AI Integration (Marketing);;https://miro.com/app/board/uXjVKyv5DUI=/?moveToWidget=3458764607666709840&cot=14;
